cphhhbh,产品类别,产品名称/通用名称,设备记录主键,规格型号,商品名称,单价,使用单元产品标识,医保编码,医疗器械注册人/备案人名称,医疗器械注册人/备案人英文名称,注册证编号或者备案凭证编号,最小销售单元产品标识
100385913,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501772025021702402024,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -06.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050177
100385914,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501842025021702402025,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050184
100385915,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501912025021702402026,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050191
100385916,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502072025021702402027,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050207
100385917,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502142025021702402028,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050214
100385918,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502212025021702402029,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -08.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050221
100385919,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502382025021702402030,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -08.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050238
100385920,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502452025021702402031,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -09.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050245
100385921,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502522025021702402032,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -09.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050252
100385922,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502692025021702402033,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -10.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050269
100385923,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502762025021702402034,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -10.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050276
100385924,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502832025021702402035,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -11.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050283
100385925,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502902025021702402036,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -11.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050290
100385926,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810503062025021702402037,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -12.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050306
100385958,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506272025021702402038,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -01.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050627
100385959,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506342025021702402039,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -01.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050634
100385960,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506412025021702402040,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -01.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050641
100385961,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506582025021702402041,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -01.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050658
100385962,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506652025021702402042,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -02.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050665
100385963,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506722025021702402043,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -02.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050672
100385964,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506892025021702402044,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -02.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050689
100385965,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810506962025021702402045,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -02.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050696
100385966,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507022025021702402046,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -03.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050702
100385967,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507192025021702402047,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -03.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050719
100385968,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507262025021702402048,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -03.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050726
100385969,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507332025021702402049,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -03.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050733
100385970,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507402025021702402050,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -04.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050740
100385971,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507572025021702402051,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -04.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050757
100385972,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507642025021702402052,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -04.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050764
100385973,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507712025021702402053,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -04.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050771
100385974,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507882025021702402054,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -05.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050788
100385975,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810507952025021702402055,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -05.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050795
100385976,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508012025021702402056,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -05.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050801
100385977,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508182025021702402057,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -05.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050818
100385978,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508252025021702402058,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -06.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050825
100385979,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508322025021702402059,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -06.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050832
100385980,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508492025021702402060,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -06.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050849
100385981,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508562025021702402061,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -06.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050856
100385982,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508632025021702402062,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -07.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050863
100385983,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508702025021702402063,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -07.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050870
100385984,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508872025021702402064,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -07.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050887
100385985,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810508942025021702402065,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -07.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050894
100385986,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509002025021702402066,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -08.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050900
100385987,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509172025021702402067,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -08.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050917
100385988,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509242025021702402068,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -09.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050924
100385989,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509312025021702402069,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -09.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050931
100385990,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509482025021702402070,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -10.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050948
100385991,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509552025021702402071,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -10.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050955
100385992,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509622025021702402072,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -11.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050962
100385993,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509792025021702402073,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -11.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050979
100385994,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810509862025021702402074,月抛型,软性亲水接触镜（水梯度月抛）1片装 840 142 -12.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050986
SY60WF.060,耗材,人工晶状体,00380652251204202210210246480,SY60WF +6D,,,,C08010115104003096020000272,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251204
SY60WF.065,耗材,人工晶状体,00380652251211202210210246481,SY60WF +6.5D,,,,C08010115104003096020000247,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251211
SY60WF.070,耗材,人工晶状体,00380652251228202210210246482,SY60WF +7D,,,,C08010115104003096020000293,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251228
SY60WF.075,耗材,人工晶状体,00380652251235202210210246483,SY60WF +7.5D,,,,C08010115104003096020000251,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251235
SY60WF.080,耗材,人工晶状体,00380652251242202210210246484,SY60WF +8D,,,,C08010115104003096020000279,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251242
SY60WF.085,耗材,人工晶状体,00380652251259202210210246485,SY60WF +8.5D,,,,C08010115104003096020000269,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251259
SY60WF.090,耗材,人工晶状体,00380652251266202210210246486,SY60WF +9D,,,,C08010115104003096020000294,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251266
SY60WF.095,耗材,人工晶状体,00380652251273202210210246487,SY60WF +9.5D,,,,C08010115104003096020000271,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251273
